Ion = Lithium     , Mass = 6.015122
Tgt =  C (Solid), Density = 2.253 g/cm3
Stopping Units = MeV/(mg/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
2.617E+05   1.123E-01  4.711E-05 
2.620E+05   1.122E-01  4.707E-05 
2.623E+05   1.121E-01  4.702E-05 
2.625E+05   1.120E-01  4.698E-05 
2.628E+05   1.120E-01  4.694E-05 
2.631E+05   1.119E-01  4.689E-05 
2.633E+05   1.118E-01  4.685E-05 
2.636E+05   1.117E-01  4.681E-05 
2.639E+05   1.116E-01  4.676E-05 
2.641E+05   1.115E-01  4.672E-05 
2.644E+05   1.114E-01  4.668E-05 
2.647E+05   1.113E-01  4.663E-05 
2.649E+05   1.112E-01  4.659E-05 
2.652E+05   1.111E-01  4.655E-05 
2.655E+05   1.111E-01  4.651E-05 
2.657E+05   1.110E-01  4.646E-05 
2.660E+05   1.109E-01  4.642E-05 
2.663E+05   1.108E-01  4.638E-05 
